matrix_size,run1,run2,run3
600,0.064003709,0.065392916,0.086194417
1000,0.311816541,0.267034209,0.25644825
1400,0.700103625,0.698444625,0.698124167
1800,1.780778875,1.961531458,1.890346041
2200,3.595791875,3.5657055,3.580291625
2600,6.476717375,7.250363917,6.823272542
3000,9.798119958,9.315792958,10.632560208
