matrix_size,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
600,0.062737375,0.06268075,0.062755167,0.062768541,0.062855958,0.055459792,0.054382875,0.054268959,0.055139791,0.054432083
1000,0.256216583,0.255435958,0.256174208,0.255273583,0.255737625,0.255727,0.255929,0.25587025,0.25559925,0.255792292
1400,0.697677875,0.696204584,0.700228791,0.700084792,0.698701916,0.69575425,0.696014791,0.696987833,0.69705725,0.697508416
1800,1.464796208,1.468031458,1.466590583,1.638579042,1.758882208,1.740344667,1.724697375,1.734849667,1.726900083,1.746175125
2200,3.35171225,3.365390334,3.363004375,3.365893959,3.361509292,3.363099875,3.364754583,3.374237125,3.364783333,3.365825083
2600,5.578821916,5.582788792,5.595917208,5.570885,5.562636792,5.562706459,5.57063775,5.568977792,5.568445625,5.560462375
3000,8.642650416,8.654165041,8.77365275,8.575911708,8.5628805,8.568429292,8.563549375,8.571614875,8.548884583,8.555567542
