Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
600,1,0.193458,2233.04,244635566,39094991
600,2,0.18559,2327.71,244669462,38776269
600,3,0.185639,2327.1,244674105,38761795
600,4,0.192294,2246.56,244690163,38822266
600,5,0.220121,1962.56,244753418,38873302
600,Median,0.192294,2246.56,,
600,Average Time,0.19542,2210.62,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
1000,1,1.41118,1417.26,1223301960,278210620
1000,2,1.14238,1750.73,1223431161,292887996
1000,3,1.14406,1748.16,1223431519,292973722
1000,4,1.17626,1700.3,1223415014,290095643
1000,5,1.18312,1690.44,1223431087,289826487
1000,Median,1.17626,1700.3,,
1000,Average Time,1.2114,1650.98,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
1400,1,3.39586,1616.08,3433486178,1242635464
1400,2,4.20483,1305.16,3433823394,1200247297
1400,3,3.31548,1655.26,3433776025,1250723075
1400,4,3.31344,1656.29,3433840461,1251493254
1400,5,3.2859,1670.17,3433793031,1253299850
1400,Median,3.31548,1655.26,,
1400,Average Time,3.5031,1566.61,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
1800,1,18.3676,635.031,9087935502,7733834233
1800,2,18.3645,635.138,9088341122,7732170629
1800,3,18.3385,636.038,9088466380,7735444702
1800,4,18.3525,635.555,9088387366,7735001957
1800,5,18.411,633.535,9088422652,7733141967
1800,Median,18.3645,635.138,,
1800,Average Time,18.3668,635.058,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
2200,1,38.7459,549.633,17642553447,22710406122
2200,2,38.7275,549.894,17643240949,22715142825
2200,3,38.9305,547.026,17643144819,22694568380
2200,4,38.7264,549.909,17643142045,22713072334
2200,5,38.71,550.142,17643134654,22709095195
2200,Median,38.7275,549.894,,
2200,Average Time,38.768,549.318,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
2600,1,69.9173,502.765,30871930889,51280523093
2600,2,69.901,502.883,30872764966,51279443606
2600,3,69.8882,502.975,30872630836,51274687880
2600,4,69.8559,503.208,30872669997,51271659455
2600,5,69.9016,502.878,30872491663,51276077985
2600,Median,69.901,502.883,,
2600,Average Time,69.8928,502.942,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
3000,1,117.769,458.526,50290678085,94962367396
3000,2,117.589,459.226,50291589383,94948554414
3000,3,116.858,462.1,50291841615,94997079350
3000,4,116.819,462.254,50292252211,95003300290
3000,5,116.839,462.174,50291885099,95003032567
3000,Median,116.858,462.1,,
3000,Average Time,117.175,460.85,,
