Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
600,1,0.102304,4222.69,27101692,58184235
600,2,0.100618,4293.45,27146501,58385893
600,3,0.0976216,4425.25,27145066,58369977
600,4,0.0972479,4442.25,27144112,58233281
600,5,0.100109,4315.3,27143736,58321366
600,Median,0.100109,4315.3,,
600,Average Time,0.0995803,4338.21,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
1000,1,0.57762,3462.48,125702291,259915002
1000,2,0.638622,3131.74,125834307,257870557
1000,3,0.594547,3363.91,125828897,259568076
1000,4,0.583775,3425.98,125829202,260809293
1000,5,0.518044,3860.68,125811172,265204551
1000,Median,0.583775,3425.98,,
1000,Average Time,0.582522,3433.35,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
1400,1,1.59129,3448.77,346061922,707792766
1400,2,1.58271,3467.48,346304830,710260781
1400,3,1.55308,3533.62,346299481,712600132
1400,4,1.54278,3557.22,346299308,714520423
1400,5,1.55007,3540.49,346299311,712469770
1400,Median,1.55308,3533.62,,
1400,Average Time,1.56398,3508.99,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
1800,1,3.37814,3452.78,745595082,1462344625
1800,2,3.39348,3437.18,746004821,1453560421
1800,3,3.38359,3447.22,745999225,1454817191
1800,4,3.38493,3445.86,745992979,1453899622
1800,5,3.39909,3431.51,746002517,1452178022
1800,Median,3.38493,3445.86,,
1800,Average Time,3.38785,3442.89,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
2200,1,6.22303,3422.13,2062979436,2580298578
2200,2,6.23982,3412.92,2063565283,2581641564
2200,3,6.25224,3406.14,2063599801,2584407339
2200,4,6.22598,3420.51,2063668095,2581593790
2200,5,6.23279,3416.77,2063579946,2583470058
2200,Median,6.23279,3416.77,,
2200,Average Time,6.23477,3415.68,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
2600,1,10.4135,3375.63,4409004248,4199144651
2600,2,10.3824,3385.73,4409846898,4200985442
2600,3,10.3902,3383.18,4409858219,4206369676
2600,4,10.3967,3381.07,4409862823,4203850235
2600,5,10.3992,3380.26,4409855505,4207299427
2600,Median,10.3967,3381.07,,
2600,Average Time,10.3964,3381.17,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
3000,1,16.0434,3365.87,6775405029,6387103584
3000,2,16.017,3371.41,6776526838,6393533933
3000,3,16.038,3367,6776530165,6393928889
3000,4,16.0275,3369.2,6776530186,6384747040
3000,5,16.0481,3364.89,6776513677,6387281279
3000,Median,16.038,3367,,
3000,Average Time,16.0348,3367.67,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
4096,1,40.8672,3363.06,17537559325,16163728604
4096,2,40.8404,3365.27,17539471348,16162830013
4096,3,41.8603,3283.28,17537602585,16153619611
4096,4,40.7671,3371.32,17539600885,16164165896
4096,5,40.771,3370.99,17539220560,16168688272
4096,Median,40.8404,3365.27,,
4096,Average Time,41.0212,3350.44,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
6144,1,137.133,3382.54,59149673709,54039424063
6144,2,137.16,3381.86,59154460138,54046639868
6144,3,137.124,3382.75,59151913275,54069198801
6144,4,137.12,3382.85,59152165750,54046997941
6144,5,137.059,3384.36,59152986006,54084557080
6144,Median,137.124,3382.75,,
6144,Average Time,137.119,3382.87,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
8192,1,326.681,3365.71,140116372679,127832094821
8192,2,326.287,3369.77,140122526821,127771279110
8192,3,326.765,3364.84,140121186719,127821728298
8192,4,325.348,3379.5,140120024517,127781667133
8192,5,327.298,3359.35,140118406489,127814848212
8192,Median,326.681,3365.71,,
8192,Average Time,326.476,3367.82,,
Matrix Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
10240,1,639.315,3359.04,273367206805,249795177624
10240,2,634.38,3385.17,273373076409,249816214156
10240,3,634.199,3386.13,273374972503,249776652760
10240,4,634.191,3386.18,273375619243,249795815632
10240,5,634.214,3386.05,273381913715,249845573997
10240,Median,634.214,3386.05		
10240,Average Time,635.26,3380.48		
